GemeindeID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
69,8.0,18.0,33.0,33.0,45.0,41.0,35.0,52.0,40.0,66.0,69.0,58.0,96.0,77.0,73.0,93.0,40.0,103.0,141.0,135.0,102.0,140.0,88.0,122.0,116.0
70,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,3.0,1.0,2.0,1.0,7.0
71,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,6.0,3.0,2.0,3.0,0.0,6.0,2.0,2.0,0.0
72,2.0,5.0,4.0,7.0,2.0,7.0,10.0,3.0,3.0,4.0,6.0,5.0,10.0,7.0,11.0,10.0,8.0,7.0,25.0,12.0,14.0,16.0,18.0,28.0,13.0
81,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0
82,0.0,0.0,1.0,2.0,1.0,1.0,5.0,1.0,0.0,2.0,0.0,3.0,0.0,4.0,4.0,2.0,3.0,6.0,6.0,4.0,5.0,7.0,1.0,2.0,5.0
83,0.0,5.0,16.0,17.0,28.0,17.0,12.0,5.0,6.0,29.0,20.0,22.0,24.0,17.0,19.0,44.0,31.0,46.0,27.0,28.0,18.0,18.0,36.0,38.0,30.0
84,2.0,4.0,4.0,4.0,10.0,16.0,16.0,14.0,8.0,26.0,14.0,20.0,28.0,28.0,27.0,52.0,33.0,32.0,25.0,15.0,22.0,18.0,29.0,20.0,26.0
85,3.0,1.0,2.0,8.0,4.0,8.0,10.0,10.0,5.0,6.0,19.0,14.0,15.0,16.0,13.0,10.0,12.0,9.0,7.0,6.0,15.0,5.0,8.0,9.0,13.0
86,5.0,13.0,8.0,8.0,18.0,21.0,23.0,25.0,33.0,33.0,32.0,48.0,31.0,40.0,38.0,26.0,18.0,38.0,31.0,19.0,19.0,38.0,28.0,25.0,42.0
87,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,1.0,1.0,1.0,2.0
88,3.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0,1.0,8.0,2.0,3.0,0.0,2.0,2.0,4.0,10.0,7.0,5.0,12.0,7.0,22.0,2.0,13.0,3.0
89,4.0,8.0,8.0,6.0,6.0,10.0,13.0,3.0,5.0,15.0,17.0,19.0,20.0,20.0,15.0,13.0,19.0,28.0,14.0,22.0,16.0,10.0,12.0,15.0,41.0
90,3.0,13.0,6.0,15.0,16.0,25.0,23.0,22.0,25.0,28.0,26.0,58.0,37.0,43.0,36.0,52.0,29.0,44.0,65.0,28.0,66.0,50.0,56.0,47.0,74.0
91,0.0,4.0,3.0,8.0,6.0,3.0,3.0,1.0,5.0,16.0,5.0,11.0,19.0,7.0,15.0,11.0,17.0,19.0,15.0,4.0,10.0,20.0,8.0,4.0,7.0
92,5.0,7.0,13.0,13.0,23.0,32.0,10.0,22.0,22.0,34.0,40.0,21.0,19.0,33.0,30.0,33.0,49.0,77.0,44.0,83.0,37.0,26.0,39.0,39.0,48.0
93,1.0,1.0,2.0,1.0,5.0,2.0,3.0,2.0,0.0,3.0,1.0,6.0,5.0,5.0,6.0,10.0,3.0,13.0,13.0,3.0,8.0,10.0,5.0,11.0,10.0
94,0.0,1.0,3.0,3.0,8.0,6.0,3.0,2.0,2.0,12.0,4.0,9.0,14.0,5.0,12.0,7.0,7.0,13.0,14.0,9.0,7.0,9.0,12.0,10.0,13.0
95,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,0.0,3.0,4.0
96,30.0,26.0,45.0,67.0,83.0,92.0,72.0,78.0,88.0,89.0,88.0,155.0,135.0,74.0,111.0,217.0,167.0,152.0,203.0,165.0,103.0,116.0,104.0,135.0,149.0
97,2.0,8.0,11.0,23.0,23.0,20.0,26.0,20.0,47.0,47.0,32.0,65.0,38.0,51.0,55.0,54.0,34.0,73.0,49.0,49.0,38.0,34.0,47.0,34.0,49.0
98,1.0,2.0,4.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
99,1.0,2.0,3.0,1.0,1.0,3.0,6.0,0.0,0.0,3.0,1.0,8.0,1.0,2.0,2.0,5.0,6.0,2.0,2.0,4.0,3.0,5.0,3.0,8.0,11.0
100,1.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,5.0,3.0,3.0,2.0,11.0,5.0,7.0,6.0,9.0,12.0,5.0,2.0,4.0,9.0,4.0,6.0
101,3.0,1.0,2.0,4.0,7.0,7.0,9.0,9.0,1.0,21.0,11.0,10.0,14.0,6.0,15.0,5.0,14.0,23.0,15.0,8.0,15.0,12.0,12.0,20.0,17.0
102,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,5.0,1.0,1.0,7.0,5.0,5.0,3.0,0.0,0.0,3.0,4.0,2.0,7.0,7.0
111,3.0,2.0,2.0,4.0,6.0,6.0,5.0,7.0,5.0,5.0,9.0,8.0,8.0,17.0,21.0,6.0,11.0,6.0,17.0,15.0,7.0,11.0,7.0,21.0,12.0
112,2.0,3.0,5.0,13.0,7.0,7.0,19.0,8.0,10.0,23.0,10.0,24.0,13.0,16.0,8.0,18.0,27.0,35.0,24.0,14.0,10.0,21.0,24.0,17.0,23.0
113,3.0,6.0,5.0,14.0,11.0,14.0,15.0,26.0,10.0,36.0,20.0,27.0,18.0,8.0,36.0,46.0,46.0,33.0,25.0,18.0,24.0,24.0,14.0,21.0,24.0
114,1.0,5.0,1.0,0.0,1.0,1.0,0.0,3.0,7.0,6.0,2.0,2.0,6.0,3.0,1.0,1.0,2.0,3.0,3.0,6.0,12.0,5.0,6.0,2.0,11.0
115,3.0,9.0,15.0,15.0,11.0,14.0,12.0,29.0,19.0,12.0,18.0,43.0,17.0,24.0,25.0,24.0,14.0,24.0,27.0,22.0,25.0,15.0,7.0,27.0,25.0
116,4.0,0.0,5.0,2.0,9.0,9.0,14.0,11.0,4.0,6.0,14.0,8.0,22.0,21.0,8.0,9.0,3.0,7.0,17.0,9.0,6.0,2.0,18.0,5.0,8.0
