,link,text
72,/de/mmr/reference/pre_20150622/source/pre_20150622.de.pdf,Zahlungsbilanz und Auslandvermögen im 1. Quartal 2015
73,/de/mmr/reference/pre_20150618_2/source/pre_20150618_2.de.pdf,Die Banken in der Schweiz 2014
74,/de/mmr/reference/pre_20150618_1/source/pre_20150618_1.de.pdf,Geldpolitische Lagebeurteilung vom 18. Juni 2015
75,/de/mmr/reference/pre_20150430/source/pre_20150430.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 31. März 2015
76,/de/mmr/reference/pre_20150422/source/pre_20150422.de.pdf,Weniger Ausnahmen bei Negativzinsen auf SNB-Girokonten
77,/de/mmr/reference/pre_20150323_2/source/pre_20150323_2.de.pdf,Zahlungsbilanz und Auslandvermögen: 4. Quartal 2014 und Jahr 2014
78,/de/mmr/reference/pre_20150319/source/pre_20150319.de.pdf,Geldpolitische Lagebeurteilung vom 19. März 2015
79,/de/mmr/reference/pre_20150313/source/pre_20150313.de.pdf,Der Bundesrat wählt Barbara Janom Steiner zum Mitglied des Bankrats der Schweizerischen Nationalbank
80,/de/mmr/reference/pre_20150306/source/pre_20150306.de.pdf,Jahresergebnis 2014 der Schweizerischen Nationalbank
81,/de/mmr/reference/pre_20150130/source/pre_20150130.de.pdf,Nationalbank und Finanzdepartement einigen sich über Zusatzausschüttung an Bund und Kantone
82,/de/mmr/reference/pre_20150121/source/pre_20150121.de.pdf,Neue Fortschritte bei der Finanzkooperation zwischen China und der Schweiz
83,/de/mmr/reference/pre_20150115/source/pre_20150115.de.pdf,"Nationalbank hebt Mindestkurs auf und senkt Zins auf -0,75%"
84,/de/mmr/reference/pre_20150109/source/pre_20150109.de.pdf,Nationalbank erwartet Jahresgewinn von 38 Mrd. Franken
85,/de/mmr/reference/pre_20141222/source/pre_20141222.de.pdf,Zahlungsbilanz und Auslandvermögen im 3. Quartal 2014
86,/de/mmr/reference/pre_20141218/source/pre_20141218.de.pdf,Nationalbank führt Negativzinsen ein
87,/de/mmr/reference/pre_20141217/source/pre_20141217.de.pdf,"Nationalbankdirektorium: Fritz Zurbrügg wird Vizepräsident, Andréa Maechler neues Mitglied"
88,/de/mmr/reference/pre_20141216/source/pre_20141216.de.pdf,Beförderungen bei der Schweizerischen Nationalbank
89,/de/mmr/reference/pre_20141212/source/pre_20141212.de.pdf,Direktinvestitionen 2013
90,/de/mmr/reference/pre_20141211/source/pre_20141211.de.pdf,Geldpolitische Lagebeurteilung vom 11. Dezember 2014
91,/de/mmr/reference/pre_20141202/source/pre_20141202.de.pdf,Emissionskalender der Bundesanleihen und Geldmarktbuchforderungen für das Jahr 2015 
92,/de/mmr/reference/pre_20141130/source/pre_20141130.de.pdf,Stellungnahme zum Abstimmungsergebnis vom 30. November 2014
93,/de/mmr/reference/pre_20141128/source/pre_20141128.de.pdf,Sanierung und Umbau der Gebäude der Nationalbank am Bundesplatz 1 und im Kaiserhaus
94,/de/mmr/reference/pre_20141120/source/pre_20141120.de.pdf,Vermögen der privaten Haushalte 2013
95,/de/mmr/reference/pre_20141031/source/pre_20141031.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 30. September 2014
96,/de/mmr/reference/pre_20141030/source/pre_20141030.de.pdf,Shadow Banking in der Schweiz
97,/de/mmr/reference/pre_20140922_1/source/pre_20140922_1.de.pdf,Zahlungsbilanz und Auslandvermögen im 2. Quartal 2014
98,/de/mmr/reference/pre_20140918/source/pre_20140918.de.pdf,Geldpolitische Lagebeurteilung vom 18. September 2014
99,/de/mmr/reference/pre_20140909/source/pre_20140909.de.pdf,Carl-Menger-Preis erstmalig verliehen
100,/de/mmr/reference/pre_20140905/source/pre_20140905.de.pdf,Nationalbank-Vizepräsident Jean-Pierre Danthine tritt Mitte 2015 zurück
101,/de/mmr/reference/pre_20140813/source/pre_20140813.de.pdf,Verfügung der Schweizerischen Nationalbank betreffend Systemrelevanz
102,/de/mmr/reference/pre_20140731/source/pre_20140731.de.pdf,Zwischenbericht der Schweizerischen Nationalbank per 30. Juni 2014
103,/de/mmr/reference/pre_20140721/source/pre_20140721.de.pdf,Renminbi-Swap-Abkommen und Renminbi-Investitionsquote für die Nationalbank
104,/de/mmr/reference/pre_20140707_1/source/pre_20140707_1.de.pdf,Die Nationalbank richtet ihre Effektenpolitik an den neuen Liquiditätsbestimmungen aus
105,/de/mmr/reference/pre_20140630_1/source/pre_20140630_1.de.pdf,Beförderung bei der Schweizerischen Nationalbank
106,/de/mmr/reference/pre_20140623/source/pre_20140623.de.pdf,Zahlungsbilanz und Auslandvermögen im 1. Quartal 2014
107,/de/mmr/reference/pre_20140619_2/source/pre_20140619_2.de.pdf,Die Banken in der Schweiz 2013
108,/de/mmr/reference/pre_20140619_1/source/pre_20140619_1.de.pdf,Geldpolitische Lagebeurteilung vom 19. Juni 2014
