Bezirk_ID,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Kanton_ABK,Bezirk_Name,Kanton_ID,Kanton_Name
1107,69,57,52,53,31,47,28,34,22,46,42,31,23,34,42,64,46,68,49,108,62,88,101,69,103,88,108,106,112,81,320,174,255,121,112,SO,Lebern,11,Solothurn
1108,76,53,58,57,73,47,50,57,41,49,33,67,47,43,83,136,84,79,77,117,75,97,84,95,194,120,177,141,229,150,564,197,257,134,142,SO,Olten,11,Solothurn
1109,32,51,23,15,24,42,25,21,17,7,24,20,15,20,55,58,30,30,26,67,47,44,46,36,71,43,53,35,72,23,132,34,80,57,49,SO,Solothurn,11,Solothurn
1110,9,5,8,5,4,8,4,9,8,6,12,3,13,5,17,14,7,11,17,19,18,30,15,38,32,37,10,24,40,41,64,21,63,31,17,SO,Thierstein,11,Solothurn
1200,251,480,645,535,777,582,393,376,223,255,307,318,492,498,568,691,837,975,502,983,1124,1443,1248,1272,1268,1121,2049,1828,1203,920,875,863,1002,1040,981,BS,Kt. Basel-Stadt,12,Basel-Stadt
1301,410,487,426,371,438,432,300,204,250,174,168,197,233,187,276,348,383,314,333,409,445,506,652,723,672,639,603,673,681,588,648,408,398,459,408,BL,Arlesheim,13,Baselland
1302,12,12,11,9,7,21,8,8,18,10,13,12,18,4,20,43,30,38,30,30,46,43,87,82,99,46,74,65,53,89,47,43,58,51,69,BL,Laufen,13,Baselland
1303,125,98,175,105,101,142,82,62,92,66,76,79,79,94,112,130,123,139,110,187,179,273,296,365,365,333,321,340,207,240,198,173,185,145,194,BL,Liestal,13,Baselland
1304,33,50,22,25,23,29,25,18,29,15,13,24,16,9,23,40,32,43,17,65,55,61,93,111,105,97,102,125,115,95,88,73,79,84,67,BL,Sissach,13,Baselland
1305,23,19,22,7,31,24,21,17,14,10,9,17,7,7,18,20,15,24,4,21,32,50,43,70,80,64,18,47,19,50,60,59,56,34,27,BL,Waldenburg,13,Baselland
1401,8,2,2,13,8,7,5,2,2,2,1,9,2,1,4,5,3,6,1,4,8,3,8,2,8,4,19,16,6,9,14,1,4,6,4,SH,Oberklettgau,14,Schaffhausen
1402,7,21,19,0,23,12,9,8,13,3,6,17,5,20,5,12,4,22,10,35,11,34,34,13,12,18,30,32,36,27,25,15,31,40,50,SH,Reiat,14,Schaffhausen
1403,158,137,151,125,115,105,93,95,89,84,79,121,154,191,132,200,259,165,195,255,342,245,297,273,177,254,218,262,348,358,298,197,237,278,267,SH,Schaffhausen,14,Schaffhausen
1404,6,4,0,5,0,12,6,2,0,6,2,5,2,1,1,1,4,1,3,4,5,7,4,5,3,1,14,3,26,9,10,5,2,13,6,SH,Schleitheim,14,Schaffhausen
1405,7,9,9,4,18,16,16,9,13,0,5,6,7,20,14,4,11,7,5,19,14,10,21,41,11,14,28,22,43,19,25,25,18,8,18,SH,Stein,14,Schaffhausen
1406,4,4,0,7,8,8,2,5,6,1,4,5,5,4,4,6,3,9,6,7,4,2,3,14,12,20,13,9,11,14,8,8,6,21,7,SH,Unterklettgau,14,Schaffhausen
1501,21,20,32,25,12,35,29,35,18,33,12,21,11,18,19,29,36,51,39,36,165,107,195,110,266,126,104,79,61,58,55,63,30,38,45,AR,Hinterland,15,Appenzell Ausserrhoden
1502,17,12,25,23,22,24,33,34,18,24,15,24,23,19,15,18,35,31,28,28,63,88,29,68,107,51,34,34,55,43,42,41,34,23,29,AR,Mittelland,15,Appenzell Ausserrhoden
1503,31,16,18,18,15,11,24,12,6,12,12,16,13,14,17,17,30,8,15,32,47,60,57,51,107,49,45,52,38,31,48,45,41,27,25,AR,Vorderland,15,Appenzell Ausserrhoden
1600,3,13,11,7,8,6,11,3,18,11,11,12,8,15,21,4,2,12,27,20,43,40,46,38,47,46,19,30,26,37,28,21,13,25,36,AI,Kt. Appenzell i.Rh.,16,Appenzell Innerrhoden
1721,230,290,207,174,220,155,159,182,151,151,184,209,252,258,344,390,255,337,481,478,560,757,725,704,884,798,852,781,662,751,606,532,370,459,443,SG,St. Gallen,17,St. Gallen
1722,80,59,53,45,64,48,66,52,45,38,47,52,54,42,50,63,69,46,118,92,105,142,128,173,206,132,205,173,177,211,145,136,111,172,153,SG,Rorschach,17,St. Gallen
1723,91,77,56,78,92,85,96,59,62,51,46,79,62,57,43,85,66,113,91,141,142,171,135,123,197,176,322,261,191,262,199,175,205,275,318,SG,Rheintal,17,St. Gallen
1724,73,31,69,44,55,55,50,53,27,35,28,30,46,46,33,59,35,62,50,50,145,103,122,159,132,140,170,134,126,170,105,134,136,146,129,SG,Werdenberg,17,St. Gallen
1725,40,54,41,30,44,25,40,26,30,21,25,41,47,34,38,54,22,22,15,52,37,48,63,87,109,95,173,163,96,151,98,122,120,130,118,SG,Sarganserland,17,St. Gallen
1726,78,62,80,65,77,78,72,69,80,41,63,64,82,65,113,124,76,148,158,132,142,226,241,189,336,299,380,391,344,421,291,252,167,297,312,SG,See-Gaster,17,St. Gallen
1727,36,35,23,27,26,31,46,34,14,23,47,51,31,34,29,78,19,80,56,50,91,87,93,135,175,145,116,140,82,206,104,135,120,137,97,SG,Toggenburg,17,St. Gallen
1728,118,97,83,115,102,94,50,52,66,67,70,90,61,59,113,116,135,194,143,141,194,192,188,221,356,252,375,267,217,341,247,210,247,256,242,SG,Wil,17,St. Gallen
1821,7,12,5,4,9,9,10,17,5,2,8,5,11,7,5,9,7,7,3,13,5,5,34,33,13,14,13,27,21,7,10,9,9,30,12,GR,Albula,18,Graubünden
1822,11,5,19,2,8,6,2,11,2,4,1,1,14,10,11,14,14,13,7,10,11,8,6,3,5,3,8,12,12,7,13,12,19,14,27,GR,Bernina,18,Graubünden
1823,8,10,13,9,7,8,12,12,8,3,8,11,8,8,9,17,9,15,17,22,24,29,104,87,42,43,27,37,26,35,15,37,16,32,31,GR,Hinterrhein,18,Graubünden
1824,48,35,20,34,30,35,9,16,8,13,12,18,23,29,28,36,36,42,34,27,45,49,144,137,71,59,40,96,50,86,56,38,57,41,71,GR,Imboden,18,Graubünden
1825,10,13,12,7,14,9,6,18,8,2,11,7,21,16,11,12,5,10,21,14,18,26,25,28,14,11,10,13,8,10,8,15,19,17,21,GR,Inn,18,Graubünden
